question,yes_no,split
Has anyone shown a gene therapy that is delivered via an aerosol?,yes,validation
Has anyone identified all the potential functions of intrinsically disordered proteins (IDPs)?,no,validation
Has anyone developed a means to model multiple length scales in biological simulations?,yes,validation
Has anyone Measured how well different people use search engines?,yes,validation
Has anyone built a high throughput measurement technique for electrochemical measurements to evolve enzymes?,yes,validation
Has anyone shown saunas can improve human health in anyway in an RCT?,yes,validation
Has anyone studied how concordant family members' perceptions of patient's goals of care/code status/decisions around CPR intubation are with patient's goals of cares? ,yes,validation
Has anyone detected dyson sphere signatures?,no,validation
Has anyone done a practical engineering analysis of starting a dyson sphere?,no,validation
Has anyone tried betaine as a treatment for Alzheimer's disease,yes,validation
Has anyone investigated the mechanism of increased cardiac output in patients treated with both milrinone and a beta blocker?,yes,validation
Has anyone found a small molecule to increase ovarian reserve?,no,validation
Has anyone shown that quantum computing can be used for trainable ML models?,yes,validation
Has anyone written a paper containing a differential equation for the rate at which ice might spread over a surface area ,yes,validation
Has anyone shown Cholecystokinin to increase or decrease weight loss directly? ,no,validation
Has anyone found good small molecule drug target sites on beta-arrestin 2?,no,validation
Has anyone investigated if there are benefits or risks related to Alzheimers disease in patients who take statins? E.g. do they increase or decrease AD risk?,yes,validation
Has anyone ever made a split GFP?,yes,validation
Has anyone made a database of all the CRISPR-associated proteins and engineering Cas proteins that are used in CRISPR genome engineering? ,no,validation
Has anyone done research into the impact of microRNA dysregulation on protein-protein interactions in cancer cells?,yes,validation
Has anyone ever experimented with giving animals money?,yes,validation
Has anyone created a system or pipeline for automatic metareview of literature?,yes,validation
Has anyone mapped the entire microbiome of the human body and its full impact on health and disease?,no,validation
"Has anyone used language models, agents, or RL to automate coffee production?",yes,validation
"Has anyone ever created a bacteria composed entirely of non-natural stereoisomers? ""Mirror life"" as some call it?",no,validation
Has anyone made an effective HIV vaccine?,no,validation
Has anyone showed an effective nootropic in an RCT?,yes,validation
Has anyone found experimental or observational evidence that explicitly contradicts the dark matter hypothesis?,yes,validation
Has anyone had an AI-generated paper accepted at a major journal? ,no,validation
Has anyone shown that eating oreos is good for your health?,no,validation
Has anyone shown that Amylin increases weight loss?,yes,validation
Has anyone designed neural networks that compute with protein or DNA?,yes,validation
Has anyone evolved AAV capsids to target pancreatic beta cells in vivo?,no,validation
Has anyone studied the receptors of adropin as drug targets for reducing anxiety?,no,validation
Has anyone designed neural networks that compute with proteins or DNA?,yes,validation
Has anyone found a small molecule that maintains healthy ovarian reserve?,no,validation
Has anyone done large scale conversion of CO2 to propene?,no,validation
